"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR024W_mRNA",58.0917310486838,0.412146194040681,1.00921557202771,0.408382713727454,0.682992722346945,0.932719927554676
"YDL245C_mRNA",1.3152023835082,-0.762069868698396,4.74114745174388,-0.160735323348379,0.872301867137461,NA
"YBR232C_mRNA",2.01341958430478,0.521900129387858,4.69618436144558,0.111132802551901,0.911511037170312,NA
"YDR320W-B_mRNA",0.161422699667967,0.277012767604163,4.99462688189659,0.0554621544620714,0.955770279883447,NA
"YBR021W_mRNA",283.012844796403,-0.116814002180495,0.503825616546962,-0.231854035094713,0.816651386408098,0.959658457320319
"YGR014W_mRNA",3786.45741759358,-0.0633772508789824,0.26365226186788,-0.240381972944126,0.810034152064944,0.959069433303729
"YKL119C_mRNA",25.3606530931024,0.458285713930366,2.16244301467585,0.211929614246534,0.832161946491609,0.963035785417707
"YPR031W_mRNA",74.6334309083198,0.186429113178563,0.915752971646578,0.20358013454584,0.838681618372794,0.963035785417707
"YKL066W_mRNA",144.258961376578,0.19573801096956,0.7093171679172,0.275952732885789,0.782584370742693,0.953315063010595
"YJL076W_mRNA",3128.34459244532,0.169108008873215,0.234225131576423,0.721989172276496,0.47030113459917,0.861517636433762
"YPL174C_mRNA",67.2156496459107,-0.0749033837639191,0.924909716730886,-0.0809845354730046,0.935454251009686,0.985737477721335
"YIL003W_mRNA",249.107442993028,-1.14702127211416,0.700499835091933,-1.63743260833691,0.101540109463404,0.519175169491177
"YML066C_mRNA",0.576889841920117,-1.28101786943398,4.97634120250554,-0.257421631135141,0.796853306166927,NA
"YMR129W_mRNA",641.841995223804,0.513217298290084,0.35034885603863,1.46487505080792,0.142955010849137,0.596327330851899
"YBR140C_mRNA",668.112671094423,-0.211468361060119,0.407144783534173,-0.519393517029723,0.603486351278732,0.91357618981356
"YGR242W_mRNA",0,NA,NA,NA,NA,NA
"YKR047W_mRNA",7.83728682052854,-0.167109761161406,2.93385260354209,-0.0569591536260725,0.954577732971162,NA
"YKL029C_mRNA",1654.88582345986,0.0949664339535808,0.292994778718953,0.324123297926325,0.745844689048331,0.951126902627004
"YLR154C-G_mRNA",66.3575560441463,0.878160654108732,1.32066269958371,0.664939393219436,0.506089258280461,0.873088844014032
"YPL028W_mRNA",6699.52148962465,-0.278223240056367,0.279886998713503,-0.994055605780966,0.320195796799117,0.77252170106755
"YDL235C_mRNA",183.891847029037,0.672576259707826,0.618901028396862,1.08672667978917,0.277157619412126,0.745741528373003
"YER091C_mRNA",6848.7466453042,-0.756784750628042,0.220162552943814,-3.43739087555537,0.000587347335199603,0.0317227494409336
"YMR121C_mRNA",431.01804848952,1.45853512677428,0.573652633516733,2.54254062747494,0.0110049806486296,0.177589520040233
"YDR356W_mRNA",199.74749952527,-2.33432260188175,0.685249082967561,-3.40653152248327,0.000657939523083975,0.0341419009380733
"YDR337W_mRNA",353.393223849692,1.45736437114223,0.475646695593851,3.06396404020571,0.00218425163283942,0.068007317015406
"YKL008C_mRNA",452.7617324465,0.0668231582275974,0.527207149646093,0.126749339936787,0.899138793103781,0.976531020538485
"YER055C_mRNA",2580.72026802001,0.177014471927445,0.250035009313905,0.707958747109741,0.478970875920353,0.864508260577578
"YFR004W_mRNA",822.284141189062,0.8398531312586,0.34002249120164,2.46999287691399,0.0135115742552811,0.200620178472132
"YDR108W_mRNA",343.549573720758,-0.217434512316737,0.444913313558924,-0.488712083208857,0.625045547999717,0.91970690040442
"YDL200C_mRNA",144.358253929889,0.471585926071632,0.676515543239838,0.697080696495462,0.485752293918511,0.86775248371246
"YJR134C_mRNA",207.264169626367,-0.0303276389139441,0.57273872984944,-0.0529519610484812,0.957770183505467,0.988780491767981
"YMR135C_mRNA",205.48893165088,-0.668958906670845,0.665970802905727,-1.00448683899066,0.315144011771716,0.771534345193197
"YGR012W_mRNA",641.749199285552,1.01634178387905,0.373929009563828,2.71800731658818,0.00656763858116902,0.138496059801305
"YNL244C_mRNA",292.784409798483,-0.314781305505626,1.87766402153929,-0.167645170751886,0.866862432943118,0.96808289843643
"YCR024C-A_mRNA",10.4431702621825,0.369542252460188,2.63117922572888,0.140447389081912,0.888306517798599,NA
"YOR027W_mRNA",7459.50399238111,-0.158881478228162,0.202384856129821,-0.785046278987628,0.43242643517973,0.839015073829292
"YBL101C_mRNA",826.123737166102,0.138148275617834,0.342620841171947,0.403210368479899,0.686793472711892,0.932719927554676
"YLL040C_mRNA",1040.70370550105,0.333524732708476,0.298215519477042,1.11840166230568,0.263395484699701,0.73391778821094
"YDR181C_mRNA",180.748274528418,-0.446870625109918,0.6016589444984,-0.742730793244454,0.457644682654376,0.853632440846246
"YML116W-A_mRNA",246.89295798564,0.91951847187652,0.554870122503927,1.65717784141461,0.0974835250953974,0.515464833496442
"YPR096C_mRNA",0,NA,NA,NA,NA,NA
"YJL210W_mRNA",352.748246613164,-0.129366461490962,0.47878545826467,-0.27019713998801,0.78700859285635,0.953315063010595
"YLR216C_mRNA",2009.71562091718,-0.0363059001672122,0.264897213936922,-0.137056557249626,0.890986090633952,0.973765943110419
"YGL118C_mRNA",0,NA,NA,NA,NA,NA
"YMR021C_mRNA",224.162746339869,1.29383468473519,0.637792715894152,2.02861314105995,0.0424977090304496,0.367237765118369
"YNL079C_mRNA",8654.77062577112,-0.0908039575982984,0.220583970681741,-0.411652566220736,0.680594096717297,0.932719927554676
"YBL058W_mRNA",1643.64294647834,0.614323558930006,0.271153722775018,2.26559146097258,0.0234764083883449,0.269911513935432
